cube,dimension,hierarchy,caption,datatype,name,role,type,aggregation
Property_bag,Property Raw,,negation,real,[negation],measure,quantitative,CountD
Property_bag,Property Raw,,numericvalue,real,[numericvalue],measure,quantitative,CountD
Property_bag,Property Raw,,propertygroupid_1,real,[measure_propertygroupid],measure,quantitative,CountD
SSB_NEW_Archive,Customers,Customers Customer,C_Region,string,[c_region],dimension,nominal,
SSB_NEW_Archive,Customers,Customers Customer,C_Country,string,[c_country],dimension,nominal,
SSB_NEW_Archive,Customers,Customers Customer,State,string,[state],dimension,nominal,
SSB_NEW_Archive,Customers,Customers Customer,C_City,string,[c_city],dimension,nominal,
SSB_NEW_Archive,Customers,Customers Customer,Postal Code,string,[postal code],dimension,nominal,
SSB_NEW_Archive,Customers,,Market_Segment,string,[market_segment],dimension,nominal,
SSB_NEW_Archive,Dates,Dates H_Dates,Year,date,[year],dimension,ordinal,
SSB_NEW_Archive,Dates,Dates H_Dates,Month,date,[month],dimension,ordinal,
SSB_NEW_Archive,Dates,Dates H_Dates,Day,date,[day],dimension,ordinal,
SSB_NEW_Archive,Dates,,Day of Week,string,[day of week],dimension,nominal,
SSB_NEW_Archive,Dates,,Is_Holiday,string,[is_holiday],dimension,nominal,
SSB_NEW_Archive,Dates,,Is_Weekday,string,[is_weekday],dimension,nominal,
SSB_NEW_Archive,Dates,,week number,real,[week number],dimension,ordinal,
SSB_NEW_Archive,Dates,,Dates_month,string,[dates_month],dimension,nominal,
SSB_NEW_Archive,Dates,,dates_year,real,[dates_year],dimension,ordinal,
SSB_NEW_Archive,Dates,,Season_C,string,[season_c],dimension,nominal,
SSB_NEW_Archive,Dates,,Transaction_Date,real,[transaction_date],dimension,ordinal,
SSB_NEW_Archive,Dates,,month_key,date,[month_key],dimension,ordinal,
SSB_NEW_Archive,Parts,Parts Part,Manufacturer,string,[manufacturer],dimension,nominal,
SSB_NEW_Archive,Parts,Parts Part,Category,string,[category],dimension,nominal,
SSB_NEW_Archive,Parts,Parts Part,Brand,string,[brand],dimension,nominal,
SSB_NEW_Archive,Suppliers,Suppliers Supplier,S_Region,string,[s_region],dimension,nominal,
