ObjectType,ObjectName,Description,Utilization,ParametersJson,OutputNotes,ReferencedObjectsJson,IRI,CodeColumn,Code,AccessBitmap
See the AggregationTypes table.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,EventProperties.EventID,Database Column named EventProperties.EventID. JSON bag of properties.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventProperties.ExpectedProperties,Database Column named EventProperties.ExpectedProperties. Metric inputs - key/value pairs of metrics as Outputs from a node.,,,,,,,,
,,,,,,,,,,
See description for InputProperties.,,,,,,,,,,
,,,,,,,,,,
"If the event just a reading, there shouldn't be OutputProperties.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,EventProperties.IntendedProperties,Database Column named EventProperties.IntendedProperties. Actual vs. Expected (predicted) is the subject of statisticians creating the confusion matrix. Intended is what we're shooting for.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventProperties.TriggerFunction,"Database Column named EventProperties.TriggerFunction. The function, a prolog, a rest call, etc. that triggered the function. The parameters could be in the ActualProperties.",,,,,,,,
,,,,,,,,,,
The importance of knowing why the event trigged added reasoning and something that can help us adjust how the events are triggered.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,BayesianProbabilities.A_Int_BCount,Database Column named BayesianProbabilities.A_Int_BCount. Allow a null in case we don't have this value.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,BayesianProbabilities.ACount,Database Column named BayesianProbabilities.ACount. Allow a null in case we don't have this value.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,BayesianProbabilities.BCount,Database Column named BayesianProbabilities.BCount. Allow a null in case we don't have this value.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,BayesianProbabilities.GroupType,"Database Column named BayesianProbabilities.GroupType. We can group events as cases, days, months, year.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,CasePropertiesParsed.AddedProperty,"Database Column named CasePropertiesParsed.AddedProperty. 0=This was parsed out of CaseProperties, 1=Added outside of case properties. CaseProperties is silver-level, cleansed table, not added.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,CasePropertiesParsed.CaseID,Database Column named CasePropertiesParsed.CaseID. JSON bag of properties.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,CasePropertiesParsed.PropertyName,"Database Column named CasePropertiesParsed.PropertyName. Case-level properties. This is anything related to the property. For example, the customer id, the employee id of the person who served the customer. These could be used to slice and dice the cases.",,,,,,,,
,,,,,,,,,,
This is a JSON field. This is to allow for a heterogeneous mix of case and event types.,,,,,,,,,,
,,,,,,,,,,
"For BI performance purposes, the implementor can select five of these properties to be denormalized into the Cases table. This avoids query-time parsing of JSON and joins. ",,,,,,,,,,
,,,,,,,,,,
TargetProperties are a special set of properties for which we track something at the case level. See the description for the TargetProperties column..,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,CasePropertiesParsed.PropertyValueNumeric,Database Column named CasePropertiesParsed.PropertyValueNumeric. Case-level properties intended to be things that will be the target values of analysis.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,CasePropertiesParsed.SortValue,Database Column named CasePropertiesParsed.SortValue. A value that allows the propertyname to be sorted. It comes from the property json:,,,,,,,,
,,,,,,,,,,
"{""Sizes"": {""value"": ""large"", ""sort_value"": 5}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,ModelSimilarity.IsMutuallyExclusive,Database Column named ModelSimilarity.IsMutuallyExclusive. Mutually exclusive means the cases comprising both models do not overlap.,,,,,,,,
,,,,,,,,,,
"NULL = Hasn't been determined, 0 = No, 1 = Is Mututally exclusive.",,,,,,,,,,
,,,,,,,,,,
"If model are sliced from different partitions, the EventFacts comprising the models are mutually exclusive. If the models are mutually exclusive, they can be added.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,,
Column,EventPropertiesParsed.CaseID,"Database Column named EventPropertiesParsed.CaseID. CaseID will help for Azure Synapse deployment. The idea is to hash on CaseID and distrubte. That way, Cases, EventFacts, EventPropertiesParsed, and CasePropertiesParsed can be hash distributed by CaseID.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventPropertiesParsed.EventDate,"Database Column named EventPropertiesParsed.EventDate. Used like a covering index, so we can filter event properties better. Don't need to do join from EventPropertiesParsed to EventFacts.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventPropertiesParsed.EventPropertyCountAllocation,"Database Column named EventPropertiesParsed.EventPropertyCountAllocation. Count of properties for eventid. It's used to allocate count, avoiding a distinct count.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,EventPropertiesParsed.PropertySource,"Database Column named EventPropertiesParsed.PropertySource. 0 = ActualProperties, 1=ExpectedProperties, 2=AggregationProperties, 3=IntendedProperties",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ModelProperties.CaseLevel,Database Column named ModelProperties.CaseLevel. This is a property parsed out of Models.CaseFilterProperties. ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Column,ModelProperties.PropertyValueNumeric,Database Column named ModelProperties.PropertyValueNumeric. This should actually be PropertyValue.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Instance,Model,"Cached Markov Model--Event Set: cardiology,StartDateTime: 1900-01-01,EndDateTime: 2050-12-31--Transforms: None--Case Filters: None",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
Instance,Model,"Cached Markov Model--Event Set: cardiology,StartDateTime: 1900-01-01,EndDateTime: 2050-12-31--Transforms: None--Case Filters: None",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
Instance,Event Type,User abandons shopping cart--Code:abandoncart,NULL,NULL,NULL,NULL,NULL,Event,abandoncart,-1
Instance,Event Type,User abandons shopping cart--Code:abandonedcart,NULL,NULL,NULL,NULL,NULL,Event,abandonedcart,-1
Instance,Event Type,Place a bet before the start--Code:ante,NULL,NULL,NULL,NULL,NULL,Event,ante,-1
Instance,Event Type,Arnold event type 1--Code:arnold1,NULL,NULL,NULL,NULL,NULL,Event,arnold1,-1
Instance,Event Type,Arnold event type 2--Code:arnold2,NULL,NULL,NULL,NULL,NULL,Event,arnold2,-1
Instance,Souce Column,Natural/business key linking the lab order to a parent hospital visit or encounter.--Code:EHR.UnknownTable.ParentVisitNatKey,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.ParentVisitNatKey,-1
Instance,Souce Column,Unique identifier for the laboratory test workflow or processing order.--Code:EHR.UnknownTable.LabWorkflowID,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.LabWorkflowID,-1
Instance,Souce Column,"Laboratory test panel or grouped set of tests ordered (e.g., CMP, CBC, lipid panel).--Code:EHR.UnknownTable.Panel",NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.Panel,-1
Instance,Souce Column,Medical Record Number (MRN) of the patient for whom the laboratory test was ordered.--Code:EHR.UnknownTable.PatientMRN,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.PatientMRN,-1
Instance,Souce Column,Unique hospital visit or encounter identifier associated with this lab order.--Code:EHR.UnknownTable.VisitID,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.VisitID,-1
Instance,Souce Column,"Unique identifier for the MRI imaging workflow, study order, or radiology procedure.--Code:EHR.UnknownTable.MRIWorkflowID",NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.MRIWorkflowID,-1
Instance,Souce Column,Natural/business key linking the MRI order back to a parent visit or encounter.--Code:EHR.UnknownTable.ParentVisitNatKey,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.ParentVisitNatKey,-1
Instance,Souce Column,Medical Record Number (MRN) of the patient receiving the MRI study.--Code:EHR.UnknownTable.PatientMRN,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.PatientMRN,-1
Instance,Souce Column,Specific MRI study or imaging procedure code/description.--Code:EHR.UnknownTable.Study,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.Study,-1
Instance,Souce Column,Unique hospital visit or encounter identifier linked to this MRI imaging order.--Code:EHR.UnknownTable.VisitID,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,EHR.UnknownTable.VisitID,-1
Instance,Souce Column,Event of a guest service process.--Code:Main.Tickets.Event,NULL,NULL,NULL,NULL,NULL,Database.Source.Table.Column,Main.Tickets.Event,-1
Table,dbo.Models,"This is a database table that stores data named dbo.Models.The primary table of the Markov Model ensemble of TimeSolution. This table holds the parameters of the markov models created from the events in dbo.EventFacts. The Markov model segments are in the ModelEvents table. Columns of this table include: [AccessBitmap,ByCase,CaseFilterProperties,CreateDate,CreatedBy_AccessBitmap,CreatedBy_UserID,CreationDuration,Description,DistinctCases,EndDateTime,enumerate_multiple_events,EventFactRows,EventFilterProperties,EventSetKey,IRI,LastUpdate,MetricID,modelid,ModelType,Order,ParamHash,StartDateTime,transformskey]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Table,dbo.ModelSequences,"This is a database table that stores data named dbo.ModelSequences.Stores statistics on sequences of events that actually have occurred, in the EventsFact table. For example, arrive->greeted->seated. It's good to know how often a sequence happens, along with other information. Columns of this table include: [Cases,CreateDate,HopAvg,HopMax,HopMin,HopStDev,lastEvent,length,ModelID,nextEvent,Prob,Rows,Seq,SeqAvg,SeqKey,SeqMax,SeqMin,SeqStDev,SeqSum,TermRows,TotalRows]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
Table,dbo.ModelSimilarity,"This is a database table that stores data named dbo.ModelSimilarity.Scores the difference between two markov models. This is one of the prime use cases for time molecules. This is done using the InsertModelSimilarities stored procedure. Columns of this table include: [CombinedUniqueSegments,CosineSimilarity,IsMutuallyExclusive,Model1Segments,Model2Segments,ModelID1,ModelID2,PercentSameSegments,SameSegments_ttest]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
SQL_STORED_PROCEDURE,[dbo].[InsertModelSimilarities],"Database Stored procedure that executes a process, named, [dbo].[InsertModelSimilarities]: Compares two Markov models based on their event transition segments, calculating Jaccard-style overlap, cosine similarity of transition probabilities, and t-test for average transition times. Stores the similarity metrics in the ModelSimilarity table. Optionally outputs segment-level comparison details.","Use when you want to compute and store similarities between models so related models can be compared, grouped, or recommended later.",[,,,,,,
,"  {""name"": ""@ModelID1"", ""type"": ""INT"", ""default value"": ""NULL"", ""description"": ""ID of the first model to compare. Must exist in ModelEvents.""},",,,,,,,,,
,"  {""name"": ""@ModelID2"", ""type"": ""INT"", ""default value"": ""NULL"", ""description"": ""ID of the second model to compare. Must exist in ModelEvents.""},",,,,,,,,,
,"  {""name"": ""@DisplaySegments"", ""type"": ""BIT"", ""default value"": ""1"", ""description"": ""If set to 1, displays segment-by-segment comparison between the models.""}",,,,,,,,,
,],[],[,,,,,,,
,"  {""name"": ""dbo.ModelEvents"", ""type"": ""Table"", ""description"": ""Stores segments of each model including transition pairs, statistics, and probabilities.""},",,,,,,,,,
,"  {""name"": ""dbo.ModelSimilarity"", ""type"": ""Table"", ""description"": ""Holds precomputed similarity metrics between pairs of models for analysis or recommendation.""}",,,,,,,,,
,],NULL,NULL,NULL,-1,,,,,
SQL_SCALAR_FUNCTION,[dbo].[PropertySource],"Database function that returns a value, named, [dbo].[PropertySource]: Translates a numeric PropertySourceKey into its corresponding property category name for use in property metadata.","Use when you need to standardize or decode where a property came from, such as distinguishing raw source-derived properties from transformed or derived ones.",[,,,,,,
"    { ""name"": ""@PropertySourceKey"", ""type"": ""TINYINT"", ""default"": null, ""description"": ""0 = InputProperties, 1 = OutputProperties, 2 = AggregationProperties."" }",,,,,,,,,,
  ],[,,,,,,,,,
"    { ""name"": ""Return Value"", ""type"": ""NVARCHAR(30)"", ""description"": ""The matching property source name, or NULL if the key is unrecognized."" }",,,,,,,,,,
  ],[],NULL,NULL,NULL,-1,,,,,
SQL_STORED_PROCEDURE,[dbo].[utility_LogProcError],"Database Stored procedure that executes a process, named, [dbo].[utility_LogProcError]: Inserts a row into dbo.ProcErrorLog for procedure events, warnings, or errors.","Use when procedures need a common, reusable way to write rows to dbo.ProcErrorLog instead of repeating manual INSERT statements.",[,,,,,,
"    { ""name"": ""@ProcedureName"", ""type"": ""NVARCHAR(128)"", ""default"": ""NULL"", ""description"": ""Name of the calling procedure. If NULL, caller may pass OBJECT_NAME(@@PROCID)."" },",,,,,,,,,,
"    { ""name"": ""@EventName"", ""type"": ""NVARCHAR(128)"", ""default"": ""NULL"", ""description"": ""Short event label such as ERROR, BatchDeleted, ModelDeleted, or ImportStarted."" },",,,,,,,,,,
"    { ""name"": ""@PropertyName"", ""type"": ""NVARCHAR(128)"", ""default"": ""NULL"", ""description"": ""Optional contextual property such as BatchID, CaseID, ModelID, or parameter name."" },",,,,,,,,,,
"    { ""name"": ""@ErrorMessage"", ""type"": ""NVARCHAR(MAX)"", ""default"": ""NULL"", ""description"": ""Detailed message or freeform log text."" },",,,,,,,,,,
"    { ""name"": ""@LoggedAt"", ""type"": ""DATETIME2(7)"", ""default"": ""NULL"", ""description"": ""Optional explicit timestamp. If NULL, defaults to SYSUTCDATETIME()."" }",,,,,,,,,,
  ],[,,,,,,,,,
"    { ""name"": ""dbo.ProcErrorLog row"", ""type"": ""Table"", ""description"": ""One log row inserted for the supplied event."" }",,,,,,,,,,
  ],[,,,,,,,,,
"    { ""name"": ""dbo.ProcErrorLog"", ""type"": ""Table"", ""description"": ""Procedure event/error log table."" }",,,,,,,,,,
  ],NULL,NULL,NULL,-1,,,,,,
Instance,Model,"Cached Markov Model--Event Set: leavehome,heavytraffic,lighttraffic,arrivework,StartDateTime: 1900-01-01,EndDateTime: 2050-12-31--Transforms: None--Case Filters: None",NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
Column,DimEvents.Properties,Database Column named DimEvents.Properties. json document of properties. Intended to describe attributes of entities that are involved. In a Markov System.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
SQL_TABLE_VALUED_FUNCTION,[dbo].[ModelDrillThrough],"Database virtual data returns data, named, [dbo].[ModelDrillThrough]: Retrieves paired events (EventA -> EventB) and their details for a specified Markov model, including elapsed minutes, rank, and occurrence counts.",NULL,[,,,,,,
"    { ""name"": ""@ModelID"",  ""type"": ""INT"",            ""default"": null, ""description"": ""Identifier of the Markov model to drill through."" },",,,,,,,,,,
"    { ""name"": ""@EventA"",   ""type"": ""NVARCHAR(20)"",   ""default"": null, ""description"": ""Optional filter for the first event; null returns all."" },",,,,,,,,,,
